"ENT","CON","TOT_PER","TOT_HOM","P1_3_H1","P1_3_H2","P1_3_H3","P1_3_H4","P1_3_H5","P1_3_H6","P1_3_H7","P1_3_H8","P1_3_H9","P1_3_H10","P1_3_H11","TOT_MUJ","P1_3_M1","P1_3_M2","P1_3_M3","P1_3_M4","P1_3_M5","P1_3_M6","P1_3_M7","P1_3_M8","P1_3_M9","P1_3_M10","P1_3_M11","P1_3_M12","P1_3_M13","P2_1_1","P2_1_2","P2_1_3","P2_1_4","P2_1_5","P2_1_6","P2_2","P4_1_1","P4_1_2","P4_1_3","P4_1_4","P4_1_5","P4_1_6","P4_1_7","P4_1_8","P4_2_1","P4_2_2","P4_2_3","P4_2_4","P4_2_5","P4_2_6","P4_2_7","P4_2_8","P4_2_9","P4_2_10","P4_3_1","P4_3_2","P4_3_3","P4_3_4","P4_3_5","P4_3_6","P4_3_7","P4_3_8","P4_3_9","FACTOR"
"01","01E10011","04","03","02","09","32","","","","","","","","","01","28","","","","","","","","","","","","","2","1","1","2","1","2","06","2","2","2","2","2","2","2","2","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0",1374
"01","01E10028","06","03","08","19","43","","","","","","","","","03","17","20","39","","","","","","","","","","","2","1","1","1","1","1","","1","1","2","1","2","1","2","2","0","1","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0",887
"01","01E10030","03","01","60","","","","","","","","","","","02","22","53","","","","","","","","","","","","2","1","1","1","1","1","","2","2","2","2","2","2","2","2","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0",1450
"01","01E10080","06","02","14","46","","","","","","","","","","04","06","18","25","40","","","","","","","","","","2","1","1","2","1","1","","2","2","2","2","2","2","2","2","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0",941
"01","01E10098","05","02","09","30","","","","","","","","","","03","00","26","06","","","","","","","","","","","2","2","2","2","1","2","01","2","2","2","2","2","2","2","2","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0",1303
"01","01E10134","05","02","20","58","","","","","","","","","","03","18","52","86","","","","","","","","","","","1","1","1","1","1","1","","2","1","2","2","2","1","2","2","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0",1050
"01","01E10175","04","02","21","51","","","","","","","","","","02","19","46","","","","","","","","","","","","1","1","1","1","1","1","","2","2","2","1","2","1","2","2","0","0","0","0","0","1","0","1","0","0","1","0","0","1","0","0","0","0","0",1235
"01","01E10177","05","02","21","62","","","","","","","","","","03","20","15","38","","","","","","","","","","","1","1","1","1","1","1","","2","2","2","2","2","2","2","2","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1",818
"01","01E10221","05","02","00","22","","","","","","","","","","03","01","06","23","","","","","","","","","","","2","2","1","2","1","2","01","2","2","2","2","2","2","2","2","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0",1104
"01","01E10244","05","02","00","22","","","","","","","","","","03","23","59","63","","","","","","","","","","","2","2","1","2","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","",990
